	ACOT7	ACSL1	AHR	AKR1A1	ALDH1B1	ALDH3A2	ALDH9A1	ARID3A	ASAH1	ATF3	BCL11B	CBFA2T3	CBX2	CERK	CERS1	CPS1	CYP1B1	DACH1	DGKB	DHCR24	DHCR7	DNMT3B	EGR2	ELF4	ELOVL2	ENPP2	ETNK2	ETV1	FADS1	FASN	FDFT1	FOSL1	FOSL2	GALC	GBA	HDAC2	ID3	IKZF2	INSM2	KAT7	KLF10	KLF4	KLF6	KLF7	LPCAT4	LSS	MAFF	MGAT3	MSMO1	MYRF	NEU4	NFIA	NFIB	NFIC	NR2F6	NR3C1	PBX2	PCYT1B	PLA2G3	PLPP3	PNPLA3	PRDM12	PSD	PTGES	RBFOX2	RCOR2	SCD5	SCRT1	SCRT2	SMPD3	SOX6	SPHK1	SQLE	SREBF2	TEAD3	TEAD4	TFAP4	ZHX2	ZIC2
INSM2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	0	2	2	0	0	0	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	0	0	2	2	2	2	1	0	2	2	2	0	0	2	2	2	1	2	2	2	2	2	2	0	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	
KAT7	2	2	2	2	2	2	2	2	2	2	0	2	2	1	2	2	2	0	0	0	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	0	2	2	2	2	2	1	2	2	2	0	1	2	0	2	2	2	2	2	2	2	0	
KLF10	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	0	2	2	0	0	2	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	0	0	2	2	2	2	1	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	
KLF4	2	0	1	2	2	0	2	2	0	2	2	2	1	1	0	0	2	0	0	2	1	0	0	0	0	0	2	0	2	0	0	2	2	0	2	2	2	0	0	2	2	2	2	2	0	2	0	2	0	1	2	0	2	1	0	1	2	0	1	0	0	2	0	2	0	2	2	1	2	2	2	2	2	1	2	0	2	1	0	
KLF6	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	0	0	2	0	2	2	0	2	0	2	0	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	1	2	0	2	2	1	2	2	1	2	2	2	2	2	2	0	2	2	2	2	2	2	2	0	
KLF7	2	0	0	2	0	2	2	2	2	2	1	1	2	0	0	0	2	2	0	2	0	2	2	2	2	0	0	1	2	2	2	2	2	0	2	2	2	0	2	2	2	0	2	0	0	2	2	2	0	1	2	2	2	2	2	2	2	2	2	0	0	2	2	1	2	2	2	2	0	2	1	2	2	2	2	2	2	2	1	
MAFF	1	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	1	1	2	1	2	1	2	1	1	2	2	2	2	2	2	2	1	2	2	2	1	1	2	2	1	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	0	2	2	2	2	1	2	0	0	2	1	
MYRF	0	0	0	2	0	0	0	2	2	2	0	2	2	1	0	0	2	0	0	0	0	2	0	0	2	2	0	0	2	2	2	2	2	0	2	2	0	0	2	2	2	0	0	0	2	2	0	1	2	1	1	2	0	2	0	2	2	0	1	2	1	2	2	0	2	0	0	2	2	2	0	2	2	0	2	2	2	1	0	
NFIA	2	2	1	2	2	2	0	2	2	2	1	2	2	2	2	1	2	0	2	2	2	2	1	0	2	1	2	1	2	2	2	2	2	0	2	2	2	1	2	2	2	2	2	0	0	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	
NFIB	2	2	2	2	2	1	0	2	1	0	2	2	2	2	2	1	2	0	1	1	2	2	2	2	1	2	2	0	2	2	2	2	2	1	2	2	2	1	2	2	2	1	2	2	0	2	0	2	2	1	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	2	0	2	1	2	2	2	2	2	2	1	1	0	
NFIC	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	1	2	1	1	2	2	2	2	2	1	1	2	1	2	2	2	2	2	2	2	1	2	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	0	1	0	
NR2F6	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	
NR3C1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	2	0	2	2	2	2	1	0	2	0	2	1	2	2	2	2	2	1	2	0	2	1	2	2	2	2	2	2	1	1	2	2	0	2	2	2	2	2	2	2	2	1	2	1	1	2	2	2	2	2	2	0	2	2	2	2	2	1	2	0	1	1	2	
PBX2	0	1	1	1	2	1	0	2	0	1	0	2	2	0	2	0	1	0	0	0	2	1	0	2	1	1	1	2	0	2	2	0	2	1	2	0	2	0	2	2	2	1	2	0	0	2	0	2	2	1	1	2	1	2	2	1	2	0	0	0	0	2	2	1	2	0	2	2	0	2	1	2	1	2	2	1	2	2	0	
PRDM12	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	2	0	0	0	0	
RBFOX2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	
RCOR2	2	2	1	2	2	2	2	2	2	1	1	0	2	2	1	1	2	0	0	2	1	2	0	0	2	0	2	1	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	0	0	0	2	2	0	2	2	2	0	2	2	1	2	0	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	0	2	0	1	2	1	
SCRT1	2	2	0	2	0	2	0	2	2	2	2	2	2	2	0	0	2	2	0	2	2	2	0	2	1	1	2	1	2	2	2	2	2	1	2	2	1	1	1	2	2	2	2	1	0	1	2	2	2	2	2	2	2	2	2	2	2	0	2	1	0	1	2	1	2	2	2	0	1	2	2	2	0	2	2	2	2	2	2	
SCRT2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
SOX6	2	2	1	2	2	1	2	2	2	2	0	2	2	2	1	0	2	0	0	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	1	0	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	0	
SREBF2	1	0	0	2	2	2	0	2	0	2	0	2	0	0	0	0	2	0	0	2	2	0	0	0	0	1	2	0	2	2	2	2	0	0	2	2	2	0	0	2	0	2	2	0	0	2	0	2	2	2	0	2	1	2	2	2	2	2	0	0	0	2	2	2	2	2	0	2	0	2	2	2	2	2	2	0	0	2	2	
TEAD3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	0	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	0	2	2	2	1	2	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	
TEAD4	2	2	1	2	2	2	2	2	2	2	2	2	2	2	0	1	2	1	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	0	0	2	1	2	2	1	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	
TFAP4	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	1	2	1	0	2	2	2	2	2	2	1	2	1	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	0	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
ZHX2	2	2	2	2	2	2	0	2	2	2	2	2	2	1	2	1	2	0	0	1	1	2	2	1	1	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	0	1	2	0	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	2	2	
ZIC2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	0	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	0	2	2	2	1	1	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
